district,name,location,taluk,village,status,contacts,facilities_available,total_people,total_males,total_females,total_infants,food_req,clothing_req,sanitary_req,medical_req,other_req
alp,Mankottachira(Subcentre),,Karthikappally,Veeyapuram,active,,,,,,,,,,,
alp,Govt. LPS.Kokkothamangalam,Govt. LPS.Kokkothamangalam,Cherthala,Kokkothamangalam,active,,,229,,,,,,,,
alp,G Balakrishnapillai Samskarika Nilayam,Budhanoor,Chenganoor,Chenganoor,active,,,100,,,,,,,,
alp,Polite bank(Upstairs),,Karthikappally,Veeyapuram,active,,,,,,,,,,,
alp,"Govt. UPS,Velliyakulam","Govt. UPS,Velliyakulam",Cherthala,Kokkothamangalam,active,,,122,,,,,,,,
alp,Madar Teresa,"Muhamma,Alappuzha",Cherthala,Muhamma,active,,,500,,,,,,,,
alp,St.Kuriakose UPS Melppadam,,Karthikappally,Veeyapuram,active,,,,,,,,,,,
alp,St.Antonys HSS,St.Antonys HSS,Cherthala,Kokkothamangalam,active,,,813,,,,,,,,
alp,Govt UPS Vallamkulangara,,Karthikappally,Veeyapuram,active,,,,,,,,,,,
alp,KrishnaSwami Temple,Budhanoor,Chenganoor,Chenganoor,active,,,100,,,,,,,,
alp,Pandit Karuppan Auditorium,Pandit Karuppan Auditorium,Cherthala,Thanneermukkom North,active,,,267,,,,,,,,
tcr,Pozhakavu St. George LPS,,Kodungallur,S.N.Puram,active,,,184,64,83,37,,,,,
alp,Kanichanallur HS Auditorium,,Karthikappally,Cheppad,active,,,,,,,,,,,
alp,NirmalJyoyhi Pre School,NirmalJyoyhi Pre School,Cherthala,Thanneermukkom North,active,,,1768,,,,,,,,
ekm,St Anns School Vathakad,St Anns School Vathakad,Aluva,Thuravoor,closed,Ajithan: 9447520587,,,,,,,,,,
alp,MSC HS Muttom,,Karthikappally,Cheppad,active,,,,,,,,,,,
tcr,Panangad HS,,Kodungallur,S.N.Puram,active,9447959925,,525,184,236,105,,,,,
alp,NaluVila Temple Office Auditorium,Budhanoor,Chenganoor,Chenganoor,active,,,150,,,,,,,,
alp,Prathyasadeepam Hostel,,Karthikappally,Cheppad,active,,,,,,,,,,,
alp,"GHSS,Thaneermukkom","GHSS,Thaneermukkom",Cherthala,Thanneermukkom North,active,,,928,,,,,,,,
tcr,Sree Parvathy Auditorium-Panamkutichira,"Sree Parvathy Auditorium,Panamkutichira",Thrissur,Thrissur,active,,,41,18,19,4,,,,,
alp,Kristhuraj Church,,Karthikappally,Cheppad,active,,,,,,,,,,,
tcr,Amandoor LPS,,Kodungallur,S.N.Puram,active,9447959925,,54,19,24,11,,,,,
alp,Etheena tutorial,,Karthikappally,Cheppad,active,,,,,,,,,,,
alp,Kannankara HS,Kannankara HS,Cherthala,Thanneermukkom North,active,,,1164,,,,,,,,
tcr,Sivaparvathy Kalyanamandapam,,Kodungallur,Methala,active,,,600,210,270,120,,,,,
alp,"GPLS,Ayyappanchery","GPLS,Ayyappanchery",Cherthala,Thanneermukkom North,active,,,525,,,,,,,,
alp,Santhvanam,,Karthikappally,Cheppad,active,,,,,,,,,,,
tcr,Kothaparambu GLP School,,Kodungallur,S.N.Puram,active,,,48,17,22,10,,,,,
alp,PHC Muttam,,Karthikappally,Cheppad,active,,,,,,,,,,,
alp,"NSS LPS,Sreekandamangalam","NSS LPS,Sreekandamangalam",Cherthala,Thanneermukkom North,active,,,1625,,,,,,,,
ekm,Fathima Matha School Anappara,Fathima Matha School Anappara,Aluva,Thuravoor,closed,Ajithan: 9447520587,,,,,,,,,,
ptm,"Govt High School, Thumpamon North","Govt High School, Thumpamon North",Kozhenchery,Chennerkara,active,,,333,,,,,,,,
tcr,"MARM HSS, Pallinada",,Kodungallur,S.N.Puram,active,,,724,253,326,145,,,,,
alp,SNDP Hall Valiyakuzhi,,Karthikappally,Cheppad,active,,,,,,,,,,,
alp,Peringilippuram School,Budhanoor,Chenganoor,Chenganoor,active,,,400,,,,,,,,
alp,"GLPS,Maruthorvattom","GLPS,Maruthorvattom",Cherthala,Thanneermukkom North,active,,,600,,,,,,,,
alp,Betheny Balikamatom HSS,,Karthikappally,Cheppad,active,,,235,,,,,,,,
tcr,"CMM Orphanage,Methala",,Kodungallur,Methala,active,,,200,70,90,40,,,,,
tcr,Vasudevavilasam UPS,,Kodungallur,S.N.Puram,active,,,639,224,288,128,,,,,
alp,coir sangham lakshmi thoppu,,Karthikappally,thrikkunnappuzha,active,,,,,,,,,,,
alp,"Mother Theresa HS,Muhamma","Mother Theresa HS,Muhamma",Cherthala,Thanneermukkom South,active,,,1036,,,,,,,,
alp,Ulumbi School,Budhanoor,Chenganoor,Chenganoor,active,,,400,,,,,,,,
tcr,Ala UPS,,Kodungallur,S.N.Puram,active,,,578,202,260,116,,,,,
alp,St.James UPS Karuvatta,,Karthikappally,Kumarapuram,active,,,,,,,,,,,
alp,"AB Vilasam HSS,Aryakkara","AB Vilasam HSS,Aryakkara",Cherthala,Thanneermukkom South,active,,,971,,,,,,,,
alp,Kalavamkodam UPS,Kalavamkodam UPS,Cherthala,Vayalar,active,,,424,,,,,,,,
alp,SVS Coir Sangham Koottam kaitha,,Karthikappally,Kumarapuram,active,,,,,,,,,,,
tcr,"KPM UPS, TKSPuram",,Kodungallur,Methala,active,,,845,296,380,169,,,,,
alp,"Gov Samskrita H S,charamangalam","Gov Samskrita H S,charamangalam",Cherthala,Thanneermukkom South,active,,,300,,,,,,,,
alp,Haskapuram,"Karuvatta ,Alappuzha",Karthikappally,Karuvatta,active,,,457,,,,,,,,
ekm,N.S.S. Hall Kidangoor,N.S.S. Hall Kidangoor,Aluva,Thuravoor,closed,Ajithan: 9447520587,,,,,,,,,,
alp,Sunday School Karuvatta,,Karthikappally,Kumarapuram,active,,,,,,,,,,,
tcr,"St. Albana LP School, Kara",,Kodungallur,Edavilangu,active,,,62,28,30,4,,,,,
alp,Brother Church Hall Kumarapuram,,Karthikappally,Kumarapuram,active,,,,,,,,,,,
alp,Little Flower L P S,"Little Flower L P S,Vayalar",Cherthala,Vayalar,active,,,,,,,,,,,
alp,PP Swathanthrya Smaraka Hall,PP Swathanthrya Smaraka Hall,Cherthala,Kanjikkuzhy,active,,,70,,,,,,,,
alp,St.Thomas LPS Karuvatta,,Karthikappally,Kumarapuram,active,,,,,,,,,,,
alp,SNDPLPS,"Karuvatta ,Alappuzha",Karthikappally,Karuvatta,active,,,210,,,,,,,,
alp,St Marys School,Puthiyakavu,Mavelikara,Thazhakkara,active,Sathiyamma 9446331846,,244,118,126,6,,,,,
alp,LPS Louther Mission Muhamma,LPS Louther Mission Muhamma,Cherthala,Kanjikkuzhy,active,,,51,,,,,,,,
alp,Kumarapuram LPS,,Karthikappally,Kumarapuram,active,,,,,,,,,,,
tcr,"Snehalayam School, Methala",,Kodungallur,Methala,active,,,200,70,90,40,,,,,
tcr,Govt. High Shool  Edavilangu,,Kodungallur,Edavilangu,active,,,1107,422,495,190,,,,,
alp,Ashramam Karuvatta,,Karthikappally,Kumarapuram,active,,,,,,,,,,,
alp,SNDPUPS,"Karuvatta,Alappuzha",Karthikappally,Karuvatta,active,,,450,,,,,,,,
alp,Jumaath Mahal committee hall,,Karthikappally,Karthikappally,active,,,,,,,,,,,
alp,HSS Muthukulam,,Karthikappally,Muthukulam,active,,,,,,,,,,,
alp,SN Colg Kanichukulangara,SN Colg Kanichukulangara,Cherthala,Kanjikkuzhy,active,,,1780,,,,,,,,
alp,Mukundavilasam LPS,Kandallur vadakku,Karthikappally,Kandallur,active,,,,,,,,,,,
alp,Raghavendra School,Raghavendra School,Cherthala,Mararikulam North,active,,,151,,,,,,,,
tcr,Sreenarayanasamajam,,Kodungallur,Methala,active,,,1500,525,675,300,,,,,
tcr,Chirakkal Madrasa,,Kodungallur,Edathiruthy,active,,,80,28,36,16,,,,,
alp,Chethi Palli,Chethi Palli,Cherthala,Mararikulam North,active,,,150,,,,,,,,
tcr,HighSchool Chandrappinni,,Kodungallur,Edathiruthy,active,,,878,307,395,176,,,,,
ekm,St Sebastian Parish Hall Kidangoor,St Sebastian Parish Hall Kidangoor,Aluva,Thuravoor,closed,Ajithan : 9447520587,,,,,,,,,,
alp,Varekadi NSS Karayogam Hall,Varekadi NSS Karayogam Hall,Cherthala,Mararikulam North,active,,,50,,,,,,,,
alp,S N Central School,"Karuvatta,Alappuzha",Karthikappally,Karuvatta,active,,,940,,,,,,,,
tcr,"Balanubodhini UPS, Methala",,Kodungallur,Methala,active,,,718,251,323,144,,,,,
alp,Gandhi Smarakam Kanjikkuzhi,Gandhi Smarakam Kanjikkuzhi,Cherthala,Mararikulam North,active,,,15,,,,,,,,
tcr,"Al Anvarul Islam LPS,  Chuloor",,Kodungallur,Edathiruthy,active,,,388,,175,78,,,,,
alp,Samhathy Mararikkulam,Samhathy Mararikkulam,Cherthala,Mararikulam North,active,,,307,,,,,,,,
tcr,ITC Chuloor,,Kodungallur,Edathiruthy,active,,,878,307,395,176,,,,,
ekm,PHC Valakom,"PHC Valakom, Mekkadambu P.O, Muvattupuzha, 682316",Muvattupuzha,Valakom,closed,9744035056,"Light, Toilets",84,22,22,40,Available,Available,Available,Available,Available
tcr,"ALPS , Chuloor",,Kodungallur,Edathiruthy,active,,,456,160,205,91,,,,,
alp,St Michael’s College,St Michael’s College cherthala,Cherthala,Cherthala South,active,,,1724,,,,,,,,
tcr,"Darul Irshan islamic  madrasa, Chuloor",,Kodungallur,Edathiruthy,active,,,1113,390,501,223,,,,,
ekm,Avanamkottu,"Near Avanamkottu Ambalam, Kunnackal P.O, Valakom,682316",Muvattupuzha,Valakom,closed,,,,,,,,,,,
tcr,"Busthanal Uloom, Arabic  College, koprakalam",,Kodungallur,Edathiruthy,active,,,192,67,86,38,,,,,
tcr,"St.Annes High School, Kottappuram",,Kodungallur,Methala,active,,,4110,1439,1850,822,,,,,
alp,"St Antonys Parish Hall,Vedackal","St Antonys Parish Hall,Vedackal",Cherthala,Pattanakkadu,active,,,62,,,,,,,,
alp,"Govt School, Cherthala south","Govt School, Cherthala south",Cherthala,Cherthala South,active,,,544,,,,,,,,
alp,Panchayat Office Budhanoor,Panchayat Office Budhanoor,Chenganoor,.,active,,,100,,,,,,,,
tcr,"Busthanal Uloom, Arabic  College, koprakalam",,Kodungallur,Edathiruthy,active,,,,,,,,,,,
tcr,"St.Michaels LPS, Kottappuram",,Kodungallur,Methala,active,,,1800,630,810,360,,,,,
tcr,J D Sabha,,Kodungallur,Methala,active,,,1000,350,450,200,,,,,
tcr,Chamakala High Shool,,Kodungallur,Edathiruthy,active,,,954,334,429,191,,,,,
alp,St. Farncis assissi School,St. Farncis assissi School,Cherthala,Arthunkal,active,,,85,,,,,,,,
alp,St. George Church (Kochu Palli),St. George Church (Kochu Palli),Cherthala,Arthunkal,active,,,174,,,,,,,,
tcr,"LPS, Govt. Boys, Sringapuram, Methala",,Kodungallur,Methala,active,,,75,26,34,15,,,,,
alp,Govt L P S Choornimangalam,Govt L P S Choornimangalam,cherthala,Thuravoor,active,,,200,,,,,,,,
tcr,RCUPS Edathuruthy,,Kodungallur,Edathiruthy,active,,,471,165,212,94,,,,,
tcr,"Govt.Boys High school, Methala",,Kodungallur,Methala,active,,,3000,1050,1350,600,,,,,
ekm,Mar Augustine HSS Thuravoor,Mar Augustine HSS Thuravoor,Aluva,Thuravoor,closed,Ajithan: 9447520587,,,,,,,,,,
tcr,Sirajnagar Madrasa,,Kodungallur,Edathiruthy,active,,,174,61,78,35,,,,,
alp,"GLPS,Kadakkarappy","GLPS,Kadakkarappy",Cherthala,kadakkarappally,active,,,20,,,,,,,,
tcr,Navaneeth anganwadi,,Kodungallur,Edathiruthy,active,,,102,36,46,20,,,,,
tcr,OK Hall,,Kodungallur,Lokamaleswaram,active,Jayanthy T P 8547614212,,1300,455,585,260,,,,,
alp,"EALPS,Kuzhikkad","Karuvatta,Alappuzha",Karthikappally,Karuvatta,active,,,512,,,,,,,,
alp,Gov Higher secondary school Pattanakkadu,Gov High school Pattanakkadu,Cherthala,Pattanakkadu,active,,,315,,,,,,,,
tcr,East UPS Perumpadappa,,Kodungallur,Edathiruthy,active,,,312,109,140,62,,,,,
alp,"St Antony's Parish Hall, Arattu vazhi","St Antony's Parish Hall, Arattu vazhi",Cherthala,Pattanakkadu,active,,,62,,,,,,,,
tcr,Al-Anver Islam LPS,,Kodungallur,Edathiruthy,active,,,204,71,92,41,,,,,
alp,Bishop Moor School,Bishop Moor School,Cherthala,Vayalar East,active,,,494,,,,,,,,
tcr,LPSchool Thiruvallur,,Kodungallur,Lokamaleswaram,active,Jayanthy T P 8547614212,,600,210,270,120,,,,,
tcr,St. Anne Convent  Edathiruthy,,Kodungallur,Edathiruthy,active,,,688,241,310,138,,,,,
alp,Karappuram Mission UPS,Karappuram Mission UPS,Cherthala,Vayalar East,active,,,247,,,,,,,,
tcr,IHRD Valappad,,Kodungallur,Edathiruthy,active,,,414,145,186,83,,,,,
alp,Aravukadu Sreedevi School,Thakazhi GP,Ambalapuzha,Thakazhi,active,,,,,,,,,,,
alp,AKM School,"Karuvatta,Alappuzha",Karthikappally,Karuvatta,active,,,35,,,,,,,,
tcr,GLPS Perumpadappa,,Kodungallur,Edathiruthy,active,,,318,111,143,64,,,,,
tcr,ASLP School Chelakode,ASLP School Chelakode,Thalappilli,Chelakode,active,8547614625 (Chelakode Village Officer),,10,5,5,0,,,,,
alp,"St Sebastian, Panikkaveettil School","St Sebastian, Panikkaveettil School",Cherthala,Vayalar East,active,,,906,,,,,,,,
tcr,Convent Kodungallur,,Kodungallur,Lokamaleswaram,active,Jayanthy T P 8547614212,,250,88,113,50,,,,,
alp,"GLPS,Vayalar North","GLPS,Vayalar North",Cherthala,Vayalar East,active,,,986,,,,,,,,
tcr,Chalingad L P School,,Kodungallur,Kaipamangalam,active,,,336,118,151,67,,,,,
alp,Changaram Govt U P S,"Kodamthuruth, Kerala 688537",Cherthala,Changaram,active,099951 47399,,100,,,,,,,,
tcr,Sreenarayanasamajam Building,,Kodungallur,Lokamaleswaram,active,Jayanthy T P 8547614212,,988,346,445,198,,,,,
alp,Vayalar RamaVarma HSS,Vayalar RamaVarma HSS,Cherthala,Vayalar East,active,,,669,,,,,,,,
alp,Sunday School,"Karuvatta,Alappuzha",Karthikappally,Karuvatta,active,,,150,,,,,,,,
alp,GLPS Thriruvizha,,Ambalapuzha,Thakazhi,active,,,,,,,,,,,
alp,"St.Michles H S ,Kavil","St.Michles H S ,Kavil",Cherthala,Vayalar East,active,,,1915,,,,,,,,
tcr,Chalingad madrasa,,Kodungallur,Kaipamangalam,active,,,66,23,30,13,,,,,
alp,"Panchayath LPS, Thuravoor","Panchayath LPS, Thuravoor",Cherthala,Thuravoor South,active,,,115,,,,,,,,
alp,"Anganvadi-135, Valamangalam North","Anganvadi-135, Valamangalam North",Cherthala,Thuravoor South,active,,,35,,,,,,,,
alp,"Govt. LPS,Chooramngalam","Govt. LPS,Chooramngalam",Cherthala,Thuravoor South,active,,,1013,,,,,,,,
tcr,Padiyathumuri School,,Kodungallur,Kaipamangalam,active,,,118,41,53,24,,,,,
alp,"Valamangalam SC,HSS","Valamangalam SC,HSS",Cherthala,Thuravoor South,active,,,750,,,,,,,,
mpm,PHC Cheravalloor,Cheravalloor,Ponnani,Perumpadappu,active,9447924842,,90,40,50,0,Yes,yes,Yes,Yes,
tcr,Koorikuzhipalli madrasa,,kodungallur,Kaipamangalam,active,7025452646,,147,51,66,29,,,,,
alp,TD HSS & UP School Thuravoor,TD HSS & UP School Thuravoor,Cherthala,kuthiyathodu,active,,,80,,,,,,,,
alp,Thuravoor West UP School,Thuravoor West UP School,Cherthala,kuthiyathodu,active,,,65,,,,,,,,
alp,Kodamthuruth Govt L P S,"Kodumthuruth, Thuravoor, Alappuzha, NH-47, Salem Kanyakumari Highway, Alappuzha, Alappuzha, Kerala 688531",Cherthala,Eramalloor,active,,,350,,,,,,,,
tcr,Izrathul Islam Madrasa,,Kodungallur,Kaipamangalam,active,,,181,63,81,36,,,,,
alp,Gold Marine Export,Gold Marine Export,Cherthala,kuthiyathodu,active,,,427,,,,,,,,
tcr,"Amritha School, Kodungallur",,Kodungallur,Lokamaleswaram,active,Jayanthy T P 8547614212,,1025,359,461,205,,,,,
tcr,RCUP School,,Kodungallur,Kaipamangalam,active,9142715324,,232,81,104,46,,,,,
alp,Parayakadu UPS,Parayakadu UPS,Cherthala,kuthiyathodu,active,,,39,,,,,,,,
tcr,"Convent, Kodungallur",,Kodungallur,Lokamaleswaram,active,Jayanthy T P 8547614212,,250,88,113,50,,,,,
tcr,Panchayath Community,,Kodungallur,Kaipamangalam,active,9447468205,,174,61,78,35,,,,,
alp,Duplicate,Duplicate,Duplicate,Duplicate,active,,,,,,,,,,,
alp,"Salafi Madrassa  Hall, Kuthiyathodu","Salafi Hall, Kuthiyathodu",Cherthala,kuthiyathodu,active,,,31,,,,,,,,
alp,Gov HSS Kodamthuruthu,Gov HSS Kodamthuruthu,Cherthala,kodamthuruthu,active,,,41,,,,,,,,
tcr,Puthanpalli Madrasa Hall,,Kodungallur,Kaipamangalam,active,8943031194,,231,81,104,46,,,,,
alp,St Marys LPS,"St Marys LPS,Ezhupunna",Cherthala,Ezhupunna,active,,,162,,,,,,,,
alp,"ECEK Union school, chammanad","ECEK Union school, chammanad",Cherthala,kodamthuruthu,active,,,510,,,,,,,,
alp,"Panchayath LP School, Kodamthuruthu","Panchayath LP School, Kodamthuruthu",Cherthala,kodamthuruthu,active,,,343,,,,,,,,
tcr,Kshemodayam LPS,,Kodungallur,Kaipamangalam,active,9249737668,,307,107,138,61,,,,,
alp,St Gregorious Cottage,Punnapra South Gp,Ambalapuzha,Punnapra,active,,,620,,,,,,,,
alp,"Immaculate LPS, Vadakkakathu","Immaculate LPS, Vadakkakathu",Cherthala,ezhupunna,active,,,162,,,,,,,,
tcr,Town LP Kodungallur,,Kodungallur,Lokamaleswaram,active,Jayanthy T P 8547614212,,524,183,236,105,,,,,
alp,GLPS Sreenarayanapuram,"GLPS Sreenarayanapuram,Ezhupunna",Cherthala,Ezhupunna,active,,,99,,,,,,,,
alp,Kaduvankulangara School,"Karuvatta,Alappuzha",Karthikappally,Karuvatta,active,,,280,,,,,,,,
alp,"Connanadu Community Hall,ermalloo","Connanadu Community Hall,ermalloor",Cherthala,ezhupunna187,active,,,187,,,,,,,,
tcr,"JTS, Kodungallur",,Kodungallur,Lokamaleswaram,active,Jayanthy T P 8547614212,,925,324,416,185,,,,,
tcr,Community hall  paerinjanam,,Kodungallur,Perinjanam,active,9746254574,,288,101,130,58,,,,,
alp,N S LPS Eramalloor,N S LPS Eramalloor,Cherthala,Aroor,active,,,457,,,,,,,,
alp,NSS UPS,Punnapra North Gp,Ambalapuzha,Punnapra,active,,,945,,,,,,,,
alp,Gov Fisheries School Aroor,Gov Fisheries School Aroor,Cherthala,Aroor,active,,,360,,,,,,,,
tcr,East UPS Perinjanam,,Kodungallur,Perinjanam,active,9447673531,,481,168,216,96,,,,,
tcr,Town Hall Kodungallur,,Kodungallur,Lokamaleswaram,active,Jayanthy T P 8547614212,,950,333,428,190,,,,,
alp,GLPS Kattissery,"GLPS Kattissery,",Cherthala,Ezhupunna,active,,,467,,,,,,,,
alp,"Gov. High School, Aroor","Gov. High School, Aroor",Cherthala,Aroor,active,,,530,,,,,,,,
tcr,GUPS Perinjanam,,Kodungallur,Perinjanam,active,9567468216,,714,,250,321,,,,,
alp,Al Ameen public School,Al Ameen public School Aroor,Cherthala,Aroor,active,,,675,,,,,,,,
tcr,St.Thomas Church Boys Home,,Kodungallur,Lokamaleswaram,active,Jayanthy T P 8547614212,,750,263,338,150,,,,,
alp,Our Lady of Mercy HSS Chandiroor,Our Lady of Mercy HSS Chandiroor,Cherthala,Aroor,active,,,240,,,,,,,,
tcr,Marine & Maritime College,,kodungallur,Azhikkode,active,,,1310,459,590,262,,,,,
tcr,"Gov.Girls High School, Kodungallur`",,Kodungallur,Lokamaleswaram,active,Jayanthy T P 8547614212,,1871,655,842,374,,,,,
tcr,Kottikkal Temple,,kodungallur,Azhikkode,active,,,1214,425,546,243,,,,,
tcr,Marthoma School,,kodungallur,Azhikkode,active,,,945,331,425,189,,,,,
tcr,Punnakkappalli Madrasa  Hal,,kodungallur,Azhikkode,active,,,88,31,40,18,,,,,
tcr,Career Academy Puthanpally,,kodungallur,Azhikkode,active,,,134,47,60,27,,,,,
tcr,Talent Tution Centre,,kodungallur,Azhikkode,active,,,222,78,100,44,,,,,
mpm,"Salafi School,paravanna- vettom",,tirur,vettom,active,,,40,11,16,13,,,,,
mpm,Rahmathpally madrassa-vettom,,tirur,vettom,active,,,382,146,145,91,,,,,
tcr,TTC Collage,,kodungallur,Azhikkode,active,,,538,188,242,108,,,,,
tcr,"Vani Vilasam School, Korley",Korley,Chavakkad,Venkitangu,active,,,60,,,,,,,,
ekm,"SNDP High School, Udayamperur",Udayamperur,kanayannur,udayamperoor,closed,,,184,,,,,,,,
ekm,"PMUP School, South Paravur",South Paravur,kanayannur,udayamperoor,closed,,,200,,,,,,,,
ekm,J B S Poothotta,"Poothotta, Udayamperur",kanayannur,udayamperoor,closed,,,144,,,,,,,,
tcr,Nurul Hidayath Madrassa,Thirunellur,Chavakkad,Mullassery,active,,,60,,,,,,,,
tcr,"Anganvady, Chirakkal",Chirakkal,Chavakkad,Mullassery,active,,,15,,,,,,,,
tcr,"Anganvady, Madhukkara",Madukkara,Chavakkad,Mullassery,active,,,136,,,,,,,,50 Family with 136 Persons
alp,Ayyappikkunnu Temple Auditorium,"Thycattussery P O,Cherthala",Cherthala,Thycattussery,active,,,29,11,15,,,,,,child-3
tcr,"Padavu Committee, Madhukara",Madhukkara,Chavakkad,Mullassery,active,,,60,,,,,,,,
tcr,"GW LPS, Elavathur",Elavathur,Chavakkad,Mullassery,active,,,124,,,,,,,,
tcr,"Hindhu U P S, Mullassery",Mullassery,Chavakkad,Mullassery,active,,,120,,,,,,,,
tcr,"AUP School, Oorakam",Ooorakam,Chavakkad,Mullassery,active,,,75,,,,,,,,
ptm,"NSS Karayogamandiram, Imali","NSS Karayogamandiram, Imali, Omalloor Gramapanchayat",Kozhencherry,Omalloor,active,,,47,,,,,,,,
alp,Duplicate,,Duplicate,Duplicate,active,,,93,,,,,,,,
ptm,"Panchayath H S, Kulanada","Panchayath H S, Kulanada",Kozhenchery,Kulanada,active,,,142,,,,,,,,
tcr,Vivekananda School,"ThanaVeedhi, Mullassery",Chavakkad,Mullassery,active,,,60,,,,,,,,
ekm,"St. Peter's Church Peechanikkad ,Angamaly","St. Peter's Church Peechanikkad ,Angamaly",Aluva,Angamaly,closed,Shoby George (Ward councilor): 9495957764,,826,405,418,1,,,,,
ekm,"Little Flower Church ,Kavaraparambu ,angamaly","Little Flower Church ,Kavaraparambu ,angamaly",Aluva,Angamaly,closed,M J Baby (ward Councilor) : 9495691397,,65,40,23,-1,,,,,
alp,Dyana Kendram Ezhakadavu,,Chennithala,Thripperunthura,active,9745691957,,130,,,,,,,,
alp,"N S S Karayoga Mandhiram , SNDP Hall, Ezhakadavu",,Chennithala,Thripperunthura,active,9947344962,,350,,,,,,,,
alp,Marthoma L P S Puthen Kottaykkal,,Chennithala,Thripperunthura,active,9446663601,,195,,,,,,,,
ekm,"Paripalana Bhavan  Madam , Chambannoor, angamaly","Paripalana Bhavan  Madam , Chambannoor, angamaly",Aluva,Angamaly,closed,"Village officer: 8547613707
Lilly varghese (ward councilor ): 7560949465
Saji joseph (ward Councilor : 9847327725",,83,40,43,,,,,,
alp,Changavila L P S,,Chennithala,Thripperunthura,active,9946035008,,94,,,,,,,,
ekm,Govt Polytechnic for Women's Kalamassery,Govt Polytechnic for Women's Kalamassery,Kanayannoor,Thrikkakkara North,closed,,,217,,,,,,,,
ekm,Govt Polytechnic for Women's Kalamassery,Govt Polytechnic for Women's Kalamassery,Kanayannoor,Thrikkakkara North,closed,,,217,,,,,,,,
alp,Karazhma East L P S,Karazhma,Chennithala,Thripperunthura,active,9495309665,,177,,,,,,,,
alp,Cherukol Govt Model UPS,Cherukol,Chennithala,Thripperunthura,active,9744146470,,1085,,,,,,,,
ekm,"St. Antony,s L P School Chambanoor ,Angamaly","St. Antony,s L P School Chambanoor ,Angamaly",Aluva,Angamly,closed,"Village officer  :8547613707
Lilly varghese  (ward councilor): 7560949465
Saji Joseph (Ward councilor) :9847327725",,524,259,265,,,,,,
ekm,"Govt Highschool, Kadungamangalam","Kadungamangalam, Thiruvamkulam, Chottanikkara",kanayannur,Chottanikkara,closed,Johnson - 9447291388,,26,7,11,8,,,,,
wnd,Thrikkaipetta St. Thomas Yacobaya Church Hall,"St. Thomas Yacobaya Church Hall, Thrikkaipetta",vythiri,Thrikkaipetta,closed,"Thrikkaipetta Village Office- Sugathakumari- 04936-282040, 8547616619",,126,58,68,4,,,,,Closed on 17/08/2018
idk,Communitty Hall Kattakkala,Communitty Hall Kattakkala,Udumbanchola,Kalkoonthal,active,,,150,68,60,22,,,,,
mpm,Mudakkozhimala Wisdom Center,മുടക്കോഴിമല ജ്ഞാന കേന്ദ്രം,kondotty,vazhakkad,closed,,,38,,,,,,,,
wnd,M R S  Pookode  School,M R S  Pookode  School,vythiri,kunnathidavaka,active,മിാക്സ്വെല്‍ ലോപ്പസ് (ക്ലര്‍ക്ക്) : 9745118030,,93,42,51,4,,,,,
idk,Manjappetty,Manjappetty,Udumbanchola,Kalkoonthal,active,,,120,,,,,,,,
idk,Arivilamchalu S T Colony,Arivilamchalu S T Colony,Udumbanchola,Kanthippara,active,,,80,,,,,,,,
ptm,"St Steephen Orthodox Church , Thirumoolapuram",Thirumoolapuram,Thiruvalla,Thiruvalla,active,,,,,,,,,,,
alp,GOVT NEW LPS KALLIMEL,Kallimel P.O,Mavelikara,Thazhakara,active,8592853614,,58,31,27,1,Drinking Water,NO,NO,NO,No
alp,GOVT HS ERAVANKARA,Eravankara P.O,Mavelikara,Thazhakara,active,9562949615,,130,63,67,3,,,,,
ptm,"Chris Thomas Marthoma Church , Eruvallippra",Eruvallippra,Thiruvalla,Thiruvalla,active,,,,,,,,,,,
alp,HSS KUNNAM,Kunnam P.O,Mavelikara,Thazhakara,active,9846473154,,76,41,35,2,,,,,
ptm,"Nattu kadavu School , Thirumoolapuram",Thirumoolapuram,Thiruvalla,Thiruvalla,active,,,,,,,,,,,
idk,Thingalakkattu Mannakkutty,Thingalakkattu Mannakkutty,Udumbanchola,Udumbanchola,active,,,85,,,,,,,,
ptm,"S N V School , Thirumoolapuram",Thirumoolapuram,Thiruvalla,Thiruvalla,active,,,,,,,,,,,
alp,GOVT LPS KUNNAM,Kunnam po,Mavelikara,Thazhakara,active,9539851202,,95,42,53,5,,,,,
ptm,KVMS Venmelippadi,"KVMS Venmelippadi, Aruvappulam",Konni,Aruvappulam,active,,,140,,,,,,,,
alp,LPS VAZHUVADY,vazhuvady po,Mavelikara,Thazhakara,active,9497676377,,115,52,63,3,,,,,
alp,CMS LPS KALLUMALA,Kallumala po,Mavelikara,Thazhakara,active,9544483898,,362,136,226,10,,,,,
idk,Thingalakkattu Parish Hall,Thingalakkattu Parish Hall,Udumbanchola,Udumbanchola,active,,,50,,,,,,,,
alp,LPS ARANOOTIMANGALAM,"Aranootimangalam po ,Thazhakara",Mavelikara,Vettiyar,active,9544474183,,264,109,155,2,,,,,
ptm,Eruvallippra Govt School,Eruvallippra,Thiruvalla,Thiruvalla,active,,,,,,,,,,,
alp,MUHAMMADEN LPS,Vettiyar P.O Thazhakara,Mavelikara,Vettiyar,active,8943522765,,293,137,156,0,,,,,
alp,TMVM HS,"Vettiyar  P.O, Thazhakara",Mavelikara,Vettiyar,active,9961354272,,850,397,453,0,,,,,
